id,title,context,question,answers
277,What percentage of the airline's energy comes from renewable sources?,"Alaska Airlines has set a goal to achieve net-zero carbon emissions by 2040 and has implemented various measures to reduce its carbon footprint. The airline sources 7.5% of its energy from renewable sources like wind and solar power, and it has invested in projects like forest conservation and electric ground equipment. Alaska Airlines also uses fuel-efficient aircraft and sustainable aviation fuels to reduce its carbon emissions.",Renewable Energy,"{'answer_start': [-1], 'text': ['0.075']}"
278,spills,"5 fuel dumps in 2021. In addition to spills caused by passengers, airlines also have to contend with spills caused by their own operations, such as fuel and oil spills on the tarmac and in maintenance areas.",how much is (was) Spills recorded?,"{'answer_start': [0], 'text': ['5']}"
279,aircraft certified / Chapter 5 noise limits,"Today, all but three aircraft types operated by the Lufthansa Group already fall below the important “minus 10 EPNdB” criteria (Effective Perceived Noise dB) of the strict Chapter 4 noise standard of the International Civil Aviation Organization (ICAO), which has been applied to new aircraft since 2006.",how much is (was) Percent of chapter 5 noise limits?,"{'answer_start': [7], 'text': ['all but three aircraft types']}"
280,Spills,"In 2019, the recorded number of spills were 93; In 2020, the recorded number of spills were 56; In 2021, the recorded number of spills were 91. The airline industry is no stranger to spills, as passengers and crew often spill food, drinks, and other liquids on flights. While many spills are minor and can be easily cleaned up, others can lead to significant safety risks and even emergency landings.",how much is (was) Spills recorded?,"{'answer_start': [0], 'text': ['In 2019, the recorded number of spills were 93; In 2020, the recorded number of spills were 56; In 2021, the recorded number of spills were 91']}"
281,suppliers,"The Group supply chain covers approximately 13,272 suppliers across every category. Working with key partners, including fuel suppliers, the business will target Scope 3 net zero emissions by 2050, and a 20 per cent reduction by 2030 relative to 2019. In 2021, Scope 3 emissions are 23 per cent of IAG’s total CO2 and 68 per cent of Scope 3 emissions relate to fuel and energy.",How many suppliers does the Group supply chain cover?,"{'answer_start': [0], 'text': ['The Group supply chain covers approximately 13,272 suppliers across every category.']}"
282,What measures has the airline implemented to improve the sustainability of its ground operations?,"Alaska Airlines has implemented various measures to improve the sustainability of its ground operations. The airline uses electric ground support equipment, such as baggage tractors and ground power units, to reduce emissions and noise pollution. Alaska Airlines also uses sustainable fuels, such as biodiesel and renewable diesel, in its ground vehicles and equipment. The airline has a goal to reduce its greenhouse gas emissions by 20% by 2025 and has been recognized for its sustainability efforts by various organizations, including the Air Transport World Eco-Airline of the Year award.",Sustainable Ground Operations,"{'answer_start': [-1], 'text': ['Use of electric ground support equipment and sustainable fuels']}"
283,giving,"One airline has a strong focus on corporate social responsibility, and as part of their efforts, their in-kind giving amounted to $7,635,466 in value. This type of giving can have a significant impact on the communities and organizations that receive it, providing crucial resources and support. By prioritizing corporate social responsibility, the airline demonstrates a commitment to creating positive social and environmental outcomes beyond their core business operations.",how much is (was) global giving in 2018?,"{'answer_start': [130], 'text': ['$7,635,466 ']}"
284,REV PASS MILES,"The REV PASS MILES is 126.075482. In addition to Rev Pass miles, some airlines also offer other types of loyalty programs, such as hotel partnerships, car rental partnerships, or retail partnerships. These programs can help to broaden the range of rewards and benefits available to passengers, and can create new revenue streams for airlines.",What is the rev pass miles for SPIRIT AIRLINES?,"{'answer_start': [22], 'text': ['126.075482']}"
285,What is the airline's approach to recycling onboard waste?,"American Airlines has implemented a recycling program to reduce waste and promote sustainability. The airline recycles plastic, aluminum, and paper waste from its flights and encourages passengers to participate in the program by disposing of waste in designated recycling bins. American Airlines has also implemented various measures to reduce its carbon footprint, including the use of fuel-efficient aircraft and sustainable aviation fuel. The airline has a goal to reduce its greenhouse gas emissions by 30% by 2025 and has been recognized for its sustainability efforts by various organizations, including the Dow Jones Sustainability Index.",Recycling,"{'answer_start': [-1], 'text': ['Recycling of plastic, aluminum, and paper waste']}"
286,aircraft certified / Chapter 5 noise limits,"As a result, 607 of 610 aircraft operated by the Lufthansa Group fulfill today’s most stringent noise standard: the impor- tant “minus 10 EPNdB” criterion (Effective Perceived Noise dB) of the Chapter-4 noise standard of the International Civil Aviation Organization (ICAO).",how much is (was) Percent of chapter 5 noise limits?,"{'answer_start': [-1], 'text': ['607/610']}"
287,Scope 3Carbon Emissions,"The Scope 3Carbon Emissions is 9.107029766.Another approach to reducing scope 3 emissions is by improving operational efficiency. This can include measures such as optimizing flight routes, reducing idle time on the runway, and improving ground operations. By improving efficiency, airlines can reduce their carbon footprint and save on operating costs.",What is the Scope 3Carbon Emissions for SOUTHWEST AIRLINES?,"{'answer_start': [31], 'text': ['9.107029766']}"
288,aviation accidents,"Safety is a top priority for airlines, but unfortunately, accidents can still occur. Recently, one airline experienced 3 regional accidents, highlighting the ongoing risks faced by airlines and the importance of implementing effective safety measures. As a result, airlines continue to invest in new technologies and training programs to ensure the safety of their passengers and crew members, minimizing the occurrence of accidents.",how much is (was) aviation regional accidents in 2019?,"{'answer_start': [119], 'text': ['3']}"
